transaction_id,at,truck_name,truck_description,has_card_reader,fsa_rating,payment_method,total
30,2026-01-04 12:11:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2419,2026-01-04 12:12:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
31,2026-01-04 12:13:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,940.0
33,2026-01-04 12:13:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
34,2026-01-04 12:13:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
32,2026-01-04 12:13:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
4007,2026-01-04 12:13:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
2421,2026-01-04 12:14:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,199.0
2420,2026-01-04 12:14:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
2423,2026-01-04 12:15:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,1299.0
2422,2026-01-04 12:15:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
35,2026-01-04 12:15:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
3673,2026-01-04 12:16:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Card,399.0
4008,2026-01-04 12:17:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
37,2026-01-04 12:17:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
36,2026-01-04 12:17:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2424,2026-01-04 12:17:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,799.0
2425,2026-01-04 12:18:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,1299.0
38,2026-01-04 12:18:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2426,2026-01-04 12:20:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,299.0
39,2026-01-04 12:20:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
40,2026-01-04 12:21:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
3674,2026-01-04 12:22:00,Hartmann's Jellied Eels,A taste of history with this classic English dish.,True,4,Card,499.0
4009,2026-01-04 12:22:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Cash,500.0
41,2026-01-04 12:23:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
2427,2026-01-04 12:23:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
42,2026-01-04 12:24:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,900.0
2428,2026-01-04 12:25:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
43,2026-01-04 12:25:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
4010,2026-01-04 12:25:00,Yoghurt Heaven,"All the great tastes, but only some of the calories!",True,4,Card,500.0
2429,2026-01-04 12:25:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,299.0
2430,2026-01-04 12:25:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Card,499.0
4918,2026-01-04 12:26:00,SuperSmoothie,"Pick any fruit or vegetable, and we'll make you a delicious, healthy, multi-vitamin shake. Live well; live wild.",False,3,Cash,699.0
46,2026-01-04 12:27:00,Burrito Madness,An authentic taste of Mexico.,True,4,Card,700.0
45,2026-01-04 12:27:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,1100.0
2432,2026-01-04 12:27:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
44,2026-01-04 12:27:00,Burrito Madness,An authentic taste of Mexico.,True,4,Cash,700.0
2431,2026-01-04 12:27:00,Cupcakes by Michelle,"Handcrafted cupcakes made with high-quality, organic ingredients.",True,5,Cash,499.0
